[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 17494 	 time: 	 0.0449 	 chachingFFE: 	 26533	 chachingPop: 	 40	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 17814 	 time: 	 0.0754 	 chachingFFE: 	 34083	 chachingPop: 	 91	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18115 	 time: 	 0.1089 	 chachingFFE: 	 41873	 chachingPop: 	 125	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18364 	 time: 	 0.1416 	 chachingFFE: 	 49170	 chachingPop: 	 147	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18502 	 time: 	 0.1705 	 chachingFFE: 	 59122	 chachingPop: 	 198	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18511 	 time: 	 0.2019 	 chachingFFE: 	 63209	 chachingPop: 	 248	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18513 	 time: 	 0.2317 	 chachingFFE: 	 64481	 chachingPop: 	 417	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.2561 	 chachingFFE: 	 64744	 chachingPop: 	 657	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.2837 	 chachingFFE: 	 65023	 chachingPop: 	 910	NoFFEiter:	 1
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.3094 	 chachingFFE: 	 65321	 chachingPop: 	 1184	NoFFEiter:	 2
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.3400 	 chachingFFE: 	 65615	 chachingPop: 	 1440	NoFFEiter:	 3
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.3678 	 chachingFFE: 	 65901	 chachingPop: 	 1696	NoFFEiter:	 4
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 0.3952 	 chachingFFE: 	 66180	 chachingPop: 	 1951	NoFFEiter:	 5
