[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 14696 	 time: 	 0.0260 	 chachingFFE: 	 4757	 chachingPop: 	 10547	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 24324 	 time: 	 0.0702 	 chachingFFE: 	 14631	 chachingPop: 	 21045	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 30640 	 time: 	 0.1090 	 chachingFFE: 	 27680	 chachingPop: 	 31680	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 34714 	 time: 	 0.1578 	 chachingFFE: 	 42823	 chachingPop: 	 42463	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 37626 	 time: 	 0.1929 	 chachingFFE: 	 59306	 chachingPop: 	 53068	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 39694 	 time: 	 0.2355 	 chachingFFE: 	 76338	 chachingPop: 	 63968	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 41080 	 time: 	 0.2735 	 chachingFFE: 	 94246	 chachingPop: 	 74674	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 42174 	 time: 	 0.3186 	 chachingFFE: 	 112097	 chachingPop: 	 85729	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 42909 	 time: 	 0.3574 	 chachingFFE: 	 130340	 chachingPop: 	 96751	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 43496 	 time: 	 0.4002 	 chachingFFE: 	 148603	 chachingPop: 	 107901	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 44027 	 time: 	 0.4424 	 chachingFFE: 	 166901	 chachingPop: 	 119072	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 44485 	 time: 	 0.4782 	 chachingFFE: 	 185281	 chachingPop: 	 130234	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 44884 	 time: 	 0.5195 	 chachingFFE: 	 203680	 chachingPop: 	 141436	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 45268 	 time: 	 0.5610 	 chachingFFE: 	 222078	 chachingPop: 	 152654	NoFFEiter:	 0
