[PRW LOG] best fitness: 	 6.00000000 	 ffe: 	 16 	 time: 	 0.0002 	 chachingFFE: 	 0	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 6.00000000 	 ffe: 	 33 	 time: 	 0.0089 	 chachingFFE: 	 0	 chachingPop: 	 3	NoFFEiter:	 0
[PRW LOG] best fitness: 	 6.00000000 	 ffe: 	 52 	 time: 	 0.0123 	 chachingFFE: 	 2	 chachingPop: 	 10	NoFFEiter:	 0
[PRW LOG] best fitness: 	 6.00000000 	 ffe: 	 75 	 time: 	 0.0159 	 chachingFFE: 	 8	 chachingPop: 	 22	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 103 	 time: 	 0.0217 	 chachingFFE: 	 18	 chachingPop: 	 43	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 135 	 time: 	 0.0274 	 chachingFFE: 	 33	 chachingPop: 	 65	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 165 	 time: 	 0.0337 	 chachingFFE: 	 49	 chachingPop: 	 89	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 191 	 time: 	 0.0396 	 chachingFFE: 	 67	 chachingPop: 	 113	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 220 	 time: 	 0.0454 	 chachingFFE: 	 85	 chachingPop: 	 146	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 242 	 time: 	 0.0511 	 chachingFFE: 	 110	 chachingPop: 	 177	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 273 	 time: 	 0.0588 	 chachingFFE: 	 128	 chachingPop: 	 208	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 304 	 time: 	 0.0623 	 chachingFFE: 	 146	 chachingPop: 	 230	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 329 	 time: 	 0.0658 	 chachingFFE: 	 168	 chachingPop: 	 247	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 350 	 time: 	 0.0742 	 chachingFFE: 	 196	 chachingPop: 	 294	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 373 	 time: 	 0.0788 	 chachingFFE: 	 223	 chachingPop: 	 308	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 401 	 time: 	 0.0879 	 chachingFFE: 	 247	 chachingPop: 	 347	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 431 	 time: 	 0.0939 	 chachingFFE: 	 268	 chachingPop: 	 363	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 462 	 time: 	 0.1044 	 chachingFFE: 	 292	 chachingPop: 	 390	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 500 	 time: 	 0.1107 	 chachingFFE: 	 311	 chachingPop: 	 411	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 531 	 time: 	 0.1174 	 chachingFFE: 	 335	 chachingPop: 	 433	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 560 	 time: 	 0.1253 	 chachingFFE: 	 363	 chachingPop: 	 470	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 599 	 time: 	 0.1315 	 chachingFFE: 	 387	 chachingPop: 	 514	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 632 	 time: 	 0.1391 	 chachingFFE: 	 418	 chachingPop: 	 538	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 656 	 time: 	 0.1439 	 chachingFFE: 	 457	 chachingPop: 	 583	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 688 	 time: 	 0.1488 	 chachingFFE: 	 489	 chachingPop: 	 628	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 719 	 time: 	 0.1553 	 chachingFFE: 	 522	 chachingPop: 	 681	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 748 	 time: 	 0.1646 	 chachingFFE: 	 557	 chachingPop: 	 718	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 777 	 time: 	 0.1726 	 chachingFFE: 	 591	 chachingPop: 	 745	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 805 	 time: 	 0.1773 	 chachingFFE: 	 627	 chachingPop: 	 792	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 833 	 time: 	 0.1809 	 chachingFFE: 	 663	 chachingPop: 	 823	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 864 	 time: 	 0.1902 	 chachingFFE: 	 696	 chachingPop: 	 842	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 894 	 time: 	 0.1969 	 chachingFFE: 	 730	 chachingPop: 	 861	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 925 	 time: 	 0.2062 	 chachingFFE: 	 763	 chachingPop: 	 899	NoFFEiter:	 0
