[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0092 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0214 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0334 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 2
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0451 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 3
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0579 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 4
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0709 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 5
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0838 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 6
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.0968 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 7
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.1096 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 8
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.1235 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 9
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.1371 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 10
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9143 	 time: 	 0.1511 	 chachingFFE: 	 7857	 chachingPop: 	 0	NoFFEiter:	 11
