[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.0395 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.0864 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.1352 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 2
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.1794 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 3
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.2271 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 4
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.2724 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 5
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.3186 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 6
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.3648 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 7
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.4105 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 8
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.4560 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 9
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.5006 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 10
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.5459 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 11
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.5894 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 12
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.6357 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 13
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.6783 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 14
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.7272 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 15
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.7747 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 16
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.8221 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 17
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.8695 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 18
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.9137 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 19
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 0.9586 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 20
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 9243 	 time: 	 1.0039 	 chachingFFE: 	 7757	 chachingPop: 	 0	NoFFEiter:	 21
