[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 10962 	 time: 	 0.0323 	 chachingFFE: 	 8288	 chachingPop: 	 10750	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11375 	 time: 	 0.0605 	 chachingFFE: 	 11705	 chachingPop: 	 36920	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11635 	 time: 	 0.0894 	 chachingFFE: 	 17265	 chachingPop: 	 61100	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11696 	 time: 	 0.1173 	 chachingFFE: 	 22629	 chachingPop: 	 85675	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11705 	 time: 	 0.1482 	 chachingFFE: 	 25867	 chachingPop: 	 110428	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11729 	 time: 	 0.1787 	 chachingFFE: 	 29202	 chachingPop: 	 137069	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11834 	 time: 	 0.2072 	 chachingFFE: 	 33684	 chachingPop: 	 162482	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11920 	 time: 	 0.2348 	 chachingFFE: 	 39159	 chachingPop: 	 186921	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11951 	 time: 	 0.2655 	 chachingFFE: 	 43878	 chachingPop: 	 212171	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 11976 	 time: 	 0.2930 	 chachingFFE: 	 47964	 chachingPop: 	 238060	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12013 	 time: 	 0.3193 	 chachingFFE: 	 52687	 chachingPop: 	 263300	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12076 	 time: 	 0.3473 	 chachingFFE: 	 57672	 chachingPop: 	 288252	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12103 	 time: 	 0.3756 	 chachingFFE: 	 61930	 chachingPop: 	 313967	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12140 	 time: 	 0.4019 	 chachingFFE: 	 66918	 chachingPop: 	 338942	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12165 	 time: 	 0.4290 	 chachingFFE: 	 71724	 chachingPop: 	 364111	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12194 	 time: 	 0.4582 	 chachingFFE: 	 76029	 chachingPop: 	 389777	NoFFEiter:	 0
