[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 31 	 time: 	 0.0004 	 chachingFFE: 	 0	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 45 	 time: 	 0.0221 	 chachingFFE: 	 17	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 73 	 time: 	 0.0282 	 chachingFFE: 	 34	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 86 	 time: 	 0.0466 	 chachingFFE: 	 52	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 100 	 time: 	 0.0557 	 chachingFFE: 	 78	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 121 	 time: 	 0.0676 	 chachingFFE: 	 103	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 144 	 time: 	 0.0854 	 chachingFFE: 	 123	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 158 	 time: 	 0.0924 	 chachingFFE: 	 140	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 172 	 time: 	 0.1097 	 chachingFFE: 	 157	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 183 	 time: 	 0.1190 	 chachingFFE: 	 177	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 205 	 time: 	 0.1285 	 chachingFFE: 	 196	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 216 	 time: 	 0.1435 	 chachingFFE: 	 215	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 238 	 time: 	 0.1542 	 chachingFFE: 	 237	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 262 	 time: 	 0.1678 	 chachingFFE: 	 258	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 278 	 time: 	 0.1779 	 chachingFFE: 	 277	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 286 	 time: 	 0.1948 	 chachingFFE: 	 298	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 298 	 time: 	 0.2111 	 chachingFFE: 	 317	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 312 	 time: 	 0.2292 	 chachingFFE: 	 336	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 326 	 time: 	 0.2393 	 chachingFFE: 	 364	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 341 	 time: 	 0.2543 	 chachingFFE: 	 382	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 351 	 time: 	 0.2674 	 chachingFFE: 	 403	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 365 	 time: 	 0.2927 	 chachingFFE: 	 420	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 378 	 time: 	 0.3012 	 chachingFFE: 	 438	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 391 	 time: 	 0.3216 	 chachingFFE: 	 456	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 403 	 time: 	 0.3346 	 chachingFFE: 	 475	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 415 	 time: 	 0.3515 	 chachingFFE: 	 493	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 426 	 time: 	 0.3616 	 chachingFFE: 	 513	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 441 	 time: 	 0.3730 	 chachingFFE: 	 538	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 452 	 time: 	 0.3897 	 chachingFFE: 	 555	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 470 	 time: 	 0.4031 	 chachingFFE: 	 578	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 486 	 time: 	 0.4201 	 chachingFFE: 	 602	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 499 	 time: 	 0.4371 	 chachingFFE: 	 620	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 513 	 time: 	 0.4500 	 chachingFFE: 	 649	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 526 	 time: 	 0.4628 	 chachingFFE: 	 671	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 545 	 time: 	 0.4747 	 chachingFFE: 	 695	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 560 	 time: 	 0.4814 	 chachingFFE: 	 713	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 575 	 time: 	 0.4854 	 chachingFFE: 	 739	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 587 	 time: 	 0.4938 	 chachingFFE: 	 758	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 598 	 time: 	 0.5015 	 chachingFFE: 	 776	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 608 	 time: 	 0.5097 	 chachingFFE: 	 797	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 620 	 time: 	 0.5168 	 chachingFFE: 	 816	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 632 	 time: 	 0.5245 	 chachingFFE: 	 835	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 646 	 time: 	 0.5322 	 chachingFFE: 	 852	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 653 	 time: 	 0.5412 	 chachingFFE: 	 875	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 665 	 time: 	 0.5486 	 chachingFFE: 	 894	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 675 	 time: 	 0.5565 	 chachingFFE: 	 914	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 683 	 time: 	 0.5629 	 chachingFFE: 	 937	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 695 	 time: 	 0.5693 	 chachingFFE: 	 963	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 708 	 time: 	 0.5786 	 chachingFFE: 	 990	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 720 	 time: 	 0.5862 	 chachingFFE: 	 1007	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 728 	 time: 	 0.5933 	 chachingFFE: 	 1028	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 740 	 time: 	 0.6025 	 chachingFFE: 	 1047	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 754 	 time: 	 0.6090 	 chachingFFE: 	 1067	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 767 	 time: 	 0.6153 	 chachingFFE: 	 1085	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 780 	 time: 	 0.6247 	 chachingFFE: 	 1103	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 792 	 time: 	 0.6315 	 chachingFFE: 	 1128	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 806 	 time: 	 0.6407 	 chachingFFE: 	 1152	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 815 	 time: 	 0.6458 	 chachingFFE: 	 1173	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 828 	 time: 	 0.6556 	 chachingFFE: 	 1199	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 840 	 time: 	 0.6615 	 chachingFFE: 	 1218	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 850 	 time: 	 0.6689 	 chachingFFE: 	 1239	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 858 	 time: 	 0.6754 	 chachingFFE: 	 1260	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 870 	 time: 	 0.6825 	 chachingFFE: 	 1289	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 880 	 time: 	 0.6883 	 chachingFFE: 	 1309	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 886 	 time: 	 0.6942 	 chachingFFE: 	 1328	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 898 	 time: 	 0.7018 	 chachingFFE: 	 1359	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 913 	 time: 	 0.7083 	 chachingFFE: 	 1387	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 925 	 time: 	 0.7151 	 chachingFFE: 	 1417	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 938 	 time: 	 0.7222 	 chachingFFE: 	 1449	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 940 	 time: 	 0.7276 	 chachingFFE: 	 1470	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 953 	 time: 	 0.7363 	 chachingFFE: 	 1492	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 963 	 time: 	 0.7423 	 chachingFFE: 	 1513	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 976 	 time: 	 0.7522 	 chachingFFE: 	 1531	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 989 	 time: 	 0.7674 	 chachingFFE: 	 1556	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 998 	 time: 	 0.7756 	 chachingFFE: 	 1574	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 1008 	 time: 	 0.7863 	 chachingFFE: 	 1594	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 1022 	 time: 	 0.7899 	 chachingFFE: 	 1614	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 1031 	 time: 	 0.7927 	 chachingFFE: 	 1633	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 1043 	 time: 	 0.8038 	 chachingFFE: 	 1652	 chachingPop: 	 0	NoFFEiter:	 0
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 1056 	 time: 	 0.8111 	 chachingFFE: 	 1670	 chachingPop: 	 0	NoFFEiter:	 0
